,ind1,ind2,vina_score,Unnamed: 3,smiles,mol,carbonyl,carboxylic acid,primary amine,alcohol,ester,amide,acid halide,fluorine halide,chlorine halide,bromine halide,iodine halide,anhydride,ether,secondary amine,enamine,alene,vinyl,phenol,fluorine,chlorine,Bromine,Iodine
20,20,20,-9.3,OSI-7904,CC1=NC2=C(C3=C(C=CC(=C3)CNC4=CC5=C(C=C4)C(=O)N(C5)C(CCC(=O)O)C(=O)O)C=C2)C(=O)N1,<rdkit.Chem.rdchem.Mol object at 0x7f562a246490>,3,2,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
21,21,21,-9.2,BGT-226,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,<rdkit.Chem.rdchem.Mol object at 0x7f562a2464e0>,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0
22,22,22,-9.2,BMS-986142,CC1=C(C=CC=C1N2C(=O)C3=C(C(=CC=C3)F)N(C2=O)C)C4=C(C=C(C5=C4C6=C(N5)CC(CC6)C(C)(C)O)C(=O)N)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246530>,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
23,23,23,-9.2,ENMD-981693,CC1=CC(=NN1)NC2=CC(=NC(=N2)C=CC3=CC=CC=C3)N4CCN(CC4)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a246580>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0
24,24,24,-9.2,KERACYANIN,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC4=C(C=C(C=C4[O+]=C3C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O)O.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x7f562a2465d0>,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0
25,25,25,-9.2,PARITAPREVIR,CC1=CN=C(C=N1)C(=O)NC2CCCCCC=CC3CC3(NC(=O)C4CC(CN4C2=O)OC5=NC6=CC=CC=C6C7=CC=CC=C75)C(=O)NS(=O)(=O)C8CC8,<rdkit.Chem.rdchem.Mol object at 0x7f562a246620>,4,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
26,26,26,-9.2,PICTILISIB,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f562a246670>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
27,27,27,-9.2,RAZAXABAN,CN(C)CC1=NC=CN1C2=CC(=C(C=C2)NC(=O)C3=CC(=NN3C4=CC5=C(C=C4)ON=C5N)C(F)(F)F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a2466c0>,1,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0
28,28,28,-9.2,TEGOBUVIR,C1=CC=C(C(=C1)C2=NC3=CN(C=CC3=N2)CC4=NN=C(C=C4)C5=C(C=C(C=C5)C(F)(F)F)C(F)(F)F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246710>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
29,29,29,-9.1,AG-13958,CC1=NN(C(=C1)C(=O)NC2=C(C=CC(=C2)NC3=CC4=C(C=C3)C(=NN4)C=CC5=CC=CC=N5)F)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a246760>,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0
30,30,30,-9.1,AMRUBICIN,CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N,<rdkit.Chem.rdchem.Mol object at 0x7f562a2467b0>,3,0,1,2,3,0,3,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0
31,31,31,-9.1,ANACETRAPIB,CC1C(OC(=O)N1CC2=C(C=CC(=C2)C(F)(F)F)C3=CC(=C(C=C3OC)F)C(C)C)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246800>,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0
32,32,32,-9.1,DESOCRIPTINE,CCC(C)C1CN2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246850>,2,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,33,33,-9.1,GUAMECYCLINE,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCN(CC5)C(=N)N=C(N)N)N(C)C)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a2468a0>,3,0,0,2,2,1,3,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0
34,34,34,-9.1,ITACITINIB,C1CN(CCC1N2CC(C2)(CC#N)N3C=C(C=N3)C4=C5C=CNC5=NC=N4)C(=O)C6=C(C(=NC=C6)C(F)(F)F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a2468f0>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
35,35,35,-9.1,LONAPRISAN,CC(=O)C1=CC=C(C=C1)C2CC3(C(CCC3(C(C(F)(F)F)(F)F)O)C4C2=C5CCC(=O)C=C5CC4)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a246940>,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0
36,36,36,-9.1,LUMACAFTOR,CC1=C(N=C(C=C1)NC(=O)C2(CC2)C3=CC4=C(C=C3)OC(O4)(F)F)C5=CC(=CC=C5)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246990>,2,1,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0
37,37,37,-9.1,REBASTINIB,CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=C(C=C(C=C2)OC3=CC(=NC=C3)C(=O)NC)F)C4=CC5=C(C=C4)N=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x7f562a2469e0>,2,0,0,0,0,3,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
38,38,38,-9.1,RUBOXISTAURIN,CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246a30>,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
39,39,39,-9.1,TEPOTINIB,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,<rdkit.Chem.rdchem.Mol object at 0x7f562a246a80>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,40,40,-9.0,CAPMATINIB,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246ad0>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,41,41,-9.0,CEP-9722,CN1CCN(CC1)CN2C(=O)C3=C(C2=O)C4=C(C5=C3CCC5)NC6=C4C(=CC=C6)OC,<rdkit.Chem.rdchem.Mol object at 0x7f562a246b20>,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,42,42,-9.0,FULACIMSTAT,CN1C2=C(C=C(C=C2)N3C=C(C(=O)N(C3=O)C4CCC5=C4C=CC=C5C(F)(F)F)C(=O)O)OC1=O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246b70>,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
43,43,43,-9.0,JNJ-38877605,CN1C=C(C=N1)C2=NN3C(=NN=C3C(C4=CC5=C(C=C4)N=CC=C5)(F)F)C=C2,<rdkit.Chem.rdchem.Mol object at 0x7f562a246bc0>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
44,44,44,-9.0,MIOFLAZINE,C1CN(C(CN1CC(=O)NC2=C(C=CC=C2Cl)Cl)C(=O)N)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246c10>,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0
45,45,45,-9.0,NANATINOSTAT,C1C2C(C2NCC3=NC4=C(C=C3)C=C(C=C4)F)CN1C5=NC=C(C=N5)C(=O)NO,<rdkit.Chem.rdchem.Mol object at 0x7f562a246c60>,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
46,46,46,-9.0,RALTEGRAVIR,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246cb0>,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
47,47,47,-9.0,RSV-604,C1=CC=C(C=C1)C2=NC(C(=O)NC3=CC=CC=C32)NC(=O)NC4=CC=CC=C4F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246d00>,2,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
48,48,48,-9.0,SETILEUTON,CCC(C1=NN=C(O1)NCC2=CC3=C(C=C2)C(=CC(=O)O3)C4=CC=C(C=C4)F)(C(F)(F)F)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246d50>,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
49,49,49,-9.0,SURICLONE,CN1CCN(CC1)C(=O)OC2C3=C(C(=O)N2C4=NC5=C(C=C4)C=CC(=N5)Cl)SCCS3,<rdkit.Chem.rdchem.Mol object at 0x7f562a2c13a0>,2,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0
50,50,50,-9.0,TALMETACIN,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OC4C5=CC=CC=C5C(=O)O4,<rdkit.Chem.rdchem.Mol object at 0x7f562a246da0>,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
51,51,51,-9.0,TARAZEPIDE,CN1C2=CC=CC=C2C(=NC(C1=O)NC(=O)C3=CC4=C5N3CCCC5=CC=C4)C6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x7f562a246df0>,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,52,52,-9.0,TEGAVIVINT,CC1CC(CN(C1)S(=O)(=O)C2=CC3=C(C=C2)C(=C4C=CC(=CC4=C3N=O)S(=O)(=O)N5CC(CC(C5)C)C)NO)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a246e40>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
53,53,53,-9.0,TUCATINIB,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5,<rdkit.Chem.rdchem.Mol object at 0x7f562a246e90>,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0
54,54,54,-9.0,VILAPRISAN,CC12CC(C3=C4CCC(=O)C=C4CCC3C1CCC2(C(C(F)(F)F)(F)F)O)C5=CC=C(C=C5)S(=O)(=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a246ee0>,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0
55,55,55,-9.0,VP-14637,CC1=NN=NN1N=CC2=CC(=C(C=C2)O)C(C3=CC=C(C=C3)O)C4=C(C=CC(=C4)C=NN5C(=NN=N5)C)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a246f30>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
56,56,56,-8.9,9-ING-41,CN1C=C(C2=CC3=C(C=C21)OCO3)C4=C(C(=O)NC4=O)C5=COC6=C5C=C(C=C6)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a246f80>,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0
57,57,57,-8.9,AVACOPAN,CC1=C(C(=CC=C1)F)C(=O)N2CCCC(C2C3=CC=C(C=C3)NC4CCCC4)C(=O)NC5=CC(=C(C=C5)C)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a247030>,2,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0
58,58,58,-8.9,AZAFTOZINE,C1CC2CN(CCN2C1)CCC(=O)N3C4=CC=CC=C4SC5=C3C=C(C=C5)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a247080>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
59,59,59,-8.9,BEFETUPITANT,CC1=CC=CC=C1C2=CC(=NC=C2N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N4CCOCC4,<rdkit.Chem.rdchem.Mol object at 0x7f562a2470d0>,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0
60,60,60,-8.9,CC-11006,C1CC1C(=O)NCC2=C3C(=CC=C2)C(=O)N(C3=O)C4CCC(=O)NC4=O,<rdkit.Chem.rdchem.Mol object at 0x7f562a247120>,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,61,-8.9,CEP-11981,CC(C)CN1C2=C(C=C(C=C2)NC3=NC=CC=N3)C4=C1C5=C(C6=CN(N=C6CC5)C)C7=C4CNC7=O,<rdkit.Chem.rdchem.Mol object at 0x7f562a247170>,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
62,62,62,-8.9,DELDEPREVIR,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(=O)NC5(CC5C=CCCCCCC(C(=O)N4C3)CC(=O)N6CCCC(C6)(F)F)C(=O)NS(=O)(=O)C7CC7)C8=NC(=CS8)C(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f562a2471c0>,4,0,0,0,0,4,4,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0
63,63,63,-8.9,ELTROMBOPAG,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a247210>,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
64,64,64,-8.9,EPICRIPTINE,CCC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a247260>,3,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,65,65,-8.9,GSK-256066,CC1=CC(=CC2=C(C(=CN=C12)C(=O)N)NC3=CC(=CC=C3)OC)S(=O)(=O)C4=CC=CC(=C4)C(=O)N(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a2472b0>,2,0,0,0,0,2,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
66,66,66,-8.9,HSD-016,CC1CN(CCN1S(=O)(=O)C2=CC=CC(=C2)C(C)(C(F)(F)F)O)C3=C(C=C(C=C3)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a247300>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0
67,67,67,-8.9,MK-3281,CN(C)CCN(C)C1CN2C3=C(C=CC(=C3)C(=O)O)C(=C2C4=CC=CC=C4OC1)C5CCCCC5,<rdkit.Chem.rdchem.Mol object at 0x7f562a247350>,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,68,68,-8.9,OMIPALISIB,COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a2473a0>,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0
69,69,69,-8.9,PERAMPANEL,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,<rdkit.Chem.rdchem.Mol object at 0x7f562a2473f0>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,70,-8.9,RODATRISTAT,C1CN(CCC12CC(NC2)C(=O)O)C3=CC(=NC(=N3)N)OC(C4=C(C=C(C=C4)Cl)C5=CC=CC=C5)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a247440>,1,1,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,3,1,0,0
71,71,71,-8.9,ROSABULIN,CC1=NSC(=C1)NC(=O)C(=O)C2=C3C=CC=CN3C(=C2)CC4=CC=C(C=C4)C#N,<rdkit.Chem.rdchem.Mol object at 0x7f562a247490>,2,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,72,72,-8.9,SILDENAFIL,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a2474e0>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,73,73,-8.9,SIRAMESINE,C1CN(CCC12C3=CC=CC=C3CO2)CCCCC4=CN(C5=CC=CC=C54)C6=CC=C(C=C6)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a247530>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
74,74,74,-8.9,SULFOBROMOPHTHALEIN,C1=CC(=C(C=C1C2(C3=C(C(=C(C(=C3Br)Br)Br)Br)C(=O)O2)C4=CC(=C(C=C4)O)S(=O)(=O)O)S(=O)(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a247580>,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0
75,75,75,-8.9,VARDENAFIL,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a2475d0>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,76,76,-8.9,VILAZODONE,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x7f562a247620>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,77,77,-8.8,ALEPLASININ,CC1=CC(=CC=C1)C2=CC3=C(C=C2)N(C=C3C(=O)C(=O)O)CC4=CC=C(C=C4)C(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a247670>,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,78,-8.8,ALOBRESIB,CC1=C(C(=NO1)C)C2=CC(=C3C(=C2)NC(=N3)C4CC4)C(C5=CC=CC=N5)(C6=CC=CC=N6)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a2476c0>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,79,-8.8,ARANOTIN,CC(=O)OC1C=COC=C2C1N3C(=O)C45CC6=COC=CC(C6N4C(=O)C3(C2)SS5)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a247710>,3,0,0,1,0,2,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0
